Report ID,Date,Site,Location,Activity,Report Type,Description,SIF Potential,Confidence,Life Saving Rule,Barrier Failure,Review Status
OIL-2026-0001,2026-02-01,Duliajan Central Workshop,Site Facility,Routine Inspection & Housekeeping,Unsafe Act,Store helper was not wearing protective leather gloves while unboxing cardboard cartons containing paper stationery in the administrative warehouse.,NO,72.8%,General UA/UC & Housekeeping,Standard Operational Anomaly,PENDING_REVIEW
OIL-2026-0002,2026-07-12,Moran Gas Gathering Station (GGS-1),Gas Gathering Station (GGS),Mechanical Maintenance & Piping,Near Miss,"During scheduled maintenance of crude booster pump P-102B at Moran GGS, technician began unbolting the pump casing before verifying that the 415V electrical breaker had been locked out and tagged. The circuit was still energized.",YES,93.8%,Energy Isolation,LOTO / Energy Isolation not verified,NOT_REQUIRED
OIL-2026-0003,2026-02-08,Shalmari Workover Rig WR-05,Rig Floor & Wellhead Area,Drilling & Well Construction,Near Miss,"While hoisting drill collars on Rig WR-05, an unlatched 4-inch casing tong jaw weighing 18 kg slipped from the derrick and fell 12 meters, landing 1.5 meters from the floor roughneck in the line of fire.",YES,92.4%,Hot Work,Standard Operational Anomaly,NOT_REQUIRED
OIL-2026-0004,2026-07-12,Moran Gas Gathering Station (GGS-1),Site Facility,Routine Inspection & Housekeeping,Unsafe Condition,Inspection tag on 5 kg CO2 fire extinguisher in the lunchroom was expired by two weeks. Pressure gauge indicator was within normal green range.,NO,72.8%,Hot Work,Hot Work Controls & Fire Watch Deficient,PENDING_REVIEW
OIL-2026-0005,2026-05-23,Shalmari Workover Rig WR-05,Site Facility,Routine Inspection & Housekeeping,Unsafe Act,Contractor employee was carrying two small 2-meter plastic conduit pipes across the yard without a helper.,NO,72.8%,General UA/UC & Housekeeping,Standard Operational Anomaly,PENDING_REVIEW
OIL-2026-0006,2026-06-04,Duliajan Central Workshop,Electrical Switchgear & MCC Room,Electrical Maintenance,Near Miss,Electrician was replacing contacts on 11kV busbar in Duliajan Central Substation without applying earthing switch or verifying zero energy state with a calibrated voltage detector.,YES,95.2%,Energy Isolation,Standard Operational Anomaly,NOT_REQUIRED
OIL-2026-0007,2026-01-27,Moran Gas Gathering Station (GGS-1),Gas Gathering Station (GGS),Mechanical Maintenance & Piping,Near Miss,"During scheduled maintenance of crude booster pump P-102B at Moran GGS, technician began unbolting the pump casing before verifying that the 415V electrical breaker had been locked out and tagged. The circuit was still energized.",YES,93.8%,Energy Isolation,LOTO / Energy Isolation not verified,APPROVED
OIL-2026-0008,2026-06-07,Moran Gas Gathering Station (GGS-1),Gas Gathering Station (GGS),Routine Inspection & Housekeeping,Unsafe Condition,"Fixed toxic gas detector at Moran GGS compressor hall had power cable disconnected, disabling early detection alarm for hazardous gas leak in confined compressor shed.",YES,89.6%,Toxic Gas & H2S Exposure,Gas Monitoring / Detection System Failure,APPROVED
OIL-2026-0009,2026-07-06,Tengakhat Compressor Station,HP Compressor House,Scaffolding & Rigging,Unsafe Condition,"Scaffold erected for high-pressure gas header inspection at Tengakhat Compressor Station had missing middle guard rails, loose wooden planks, and no toe-boards at a working height of 7.5 meters.",YES,89.6%,Working at Height,Fall Protection / Guardrails Inadequate,NOT_REQUIRED
OIL-2026-0010,2026-04-21,Madhuban EPS & Separation Plant,Site Facility,Mechanical Maintenance & Piping,Unsafe Act,Control room operator installed a manual mechanical lock on emergency shutdown valve ESDV-101 to prevent recurring production line shutdown without obtaining signed Management of Change (MOC) bypass permit.,NO,72.8%,Bypassing Safety Controls,Permit to Work & Authorization Violation,PENDING_REVIEW
