Description,Site,Location,Activity,Report Type,Date
"Electrician started unbolting crude booster pump motor without locking the 415V main power switch. Live electrical power was still connected to the equipment.",Duliajan Central Workshop,Pump House Skid 1,Mechanical Maintenance & Power Isolation,Near Miss,2026-05-14
"Two contract tank cleaners entered inside crude storage tank T-04 without continuous oxygen level meter testing and without any standby safety watchman outside.",Digboi Production Facility & Tank Farm,Tank Farm T-04,Vessel & Tank Cleaning,Near Miss,2026-05-22
"Derrickman was observed standing 25 meters high on the derrick pipe-racking platform with his safety harness lifeline unhooked from the anchor point.",Naharkatiya Drilling Rig D-14,Rig Derrick Floor,Scaffolding & Work at Height,Unsafe Act,2026-06-08
"Well testing crew opened the wellhead valve on a sour gas well with toxic hydrogen sulfide (H2S) gas without wearing personal gas alarms or breathing apparatus.",Baghjan Well Area B-02,Wellhead Cellar,Well Intervention & Gas Testing,Near Miss,2026-06-15
"Welder started using an open flame cutting torch only 3 meters away from an open drain leaking flammable hydrocarbon gas with no fire extinguisher present.",Ankleshwar Oil Production Facility,Separation Unit 2,Hot Work & Welding,Unsafe Act,2026-06-28
"Mobile 20-ton crane was hoisting a 5-ton metal drilling motor using a torn, worn-out synthetic lifting belt with broken fibers over workers on the ground.",Mehsana Heavy Oil Rig Unit 07,Heavy Offloading Yard,Crane & Mechanical Lifting,Unsafe Condition,2026-07-04
"A heavy 15 kg iron casing tong wrench slipped from an overhead rig platform and dropped 12 meters down, landing 1 meter from a floor worker.",Barmer Mangala Oilfield,Drilling Floor,Rig Operations & Dropped Objects,Near Miss,2026-07-12
"Control room operator tied a wire around the emergency shut-off valve ESDV-101 to bypass automatic emergency safety shutdown during pressure spikes.",Mumbai High Offshore Platform North,Platform Control Skid,Safety Control Systems & Instrumentation,Unsafe Act,2026-07-19
"Crude oil tanker truck driver was tracked speeding at 78 km/h on a narrow, muddy rain-soaked field road without wearing a seatbelt.",Jorajan Crude Gathering Station,Field Access Road,Vehicle Driving & Transport,Unsafe Act,2026-07-27
"High-pressure hydrotest pipeline pumped to 3500 psi did not have safety whipcheck cables or safety chains connected on the flexible pressure hose.",Kakinada KG-Basin Onshore Terminal,Pigging Area Manifold,Pressure Testing & Piping,Unsafe Condition,2026-08-03
"Mechanic opened a 2-inch drain valve on an operating oil separator before releasing trapped pressure, spraying hot crude oil condensate across the pump bay.",Paradip Pipeline Pumping Station,Main Separator Skid,Mechanical Maintenance & Depressurization,Near Miss,2026-08-10
"Workers built a 6-meter high scaffolding platform for pipe painting without installing mid-guardrails or toe-boards along the outer open edge.",Jamnagar Pipeline Dispatch Terminal,Tank Manifold Area,Scaffolding & Work at Height,Unsafe Condition,2026-08-14
"Contractor crew spotted working near a high-pressure line during routine operations, possible boundary concern needing review.",Moran Gas Gathering Station (GGS-1),Manifold Area,Routine Housekeeping & Facility Upkeep,Near Miss,2026-08-18
"Unusual equipment vibration noticed near rotating pump shaft during shift handover, requiring engineering check.",Duliajan Central Workshop,Pump Room 2,Routine Housekeeping & Facility Upkeep,Unsafe Condition,2026-08-20
"Spilled floor cleaning detergent and rainwater left in the main admin building hallway, creating a slippery floor hazard for office staff.",Panipat Crude Pipeline Dispatch Center,Admin Main Entrance,Routine Housekeeping & Facility Upkeep,Unsafe Condition,2026-08-22
"Store helper was carrying cardboard boxes of printer paper and office stationery into the warehouse without wearing protective work gloves.",Kochi Marine Oil Terminal,Warehouse Storage Bay,Routine Housekeeping & Facility Upkeep,Unsafe Act,2026-08-23
"One fluorescent tube light on the ceiling of the storage tool room was flickering, causing slightly dim lighting over the workbench.",Duliajan Administrative Complex,Storage Room,Routine Housekeeping & Facility Upkeep,Unsafe Condition,2026-08-24
"Plastic dust covers were missing from the emergency eye wash fountain in the battery charging room. The water flow operated normally when tested.",Moran Substation & Electrical Bay,Water Quality Testing Lab,Routine Housekeeping & Facility Upkeep,Unsafe Condition,2026-08-25
"An employee accidentally discarded clean shredded office paper into the red hazardous oily waste drum instead of the regular waste bin.",Nazira GGS & Separation Plant,Separator Unit 1,Routine Housekeeping & Facility Upkeep,Unsafe Act,2026-08-26
"Empty plastic water bottles and snack wrappers were left on the floor near the tool storage box in the crew rest room.",Sibsagar Workover Rig WR-03,Tool Storage Shed,Routine Housekeeping & Facility Upkeep,Unsafe Condition,2026-08-27
"Sun-faded paint on the outdoor emergency muster point assembly sign board near the security perimeter gate.",Kusijan Water Injection Plant,Perimeter Gate 2,Routine Housekeeping & Facility Upkeep,Unsafe Condition,2026-08-28
"Contract security guard walked across the asphalt parking lot during afternoon lunch break without wearing his clear safety glasses.",Bongaigaon Refinery Link Terminal,Security Gate Post,Routine Housekeeping & Facility Upkeep,Unsafe Act,2026-08-29
